LAKSHMI PRECISION TECHNOLOGIES LIMITED,,,,,,,,,,,,,,,,,,
LEGAL REQUIRMENTS PLAN VS ACTUAL - 2026,,,,,,,,,,,,,,,,,,
S.No,Authority,Statutory Compliance,As Per ACT,Valid up to ,Process Time,Submission Date,Jan'26,Feb'26,Mar'26,Apr'26,May'26,June'26,July'26,Aug'26,Sep'26,Oct'26,Nov'26,Dec'26
1,LPT,Staff / Trainee Salary ,,Every  Month on or before 1st Day,5 Days,Every 7th,?,?,?,?,?,?,?,?,?,?,?,?
2,LPT,Workers / Contract Wage,,Every  Month on or before 7th Day,,,?,?,?,?,?,?,?,?,?,?,?,?
3,LPT,Leave Encashment - Payment,,31.01.2026,10 Days,20.01.2026,?,,,,,,,,,,,
4,LPT,Variable Pay - Payment,,31.05.2026,20 Days,10.05.2026,,,,,?,,,,,,,
5,LPT,Employees Bonus Payment,,Before Diwali Festival -2026,,,,,,,,,,,,?,,
6,LPT,Employees Health Check-up,,Every  Month on or before 25th Day,,,?,?,?,?,?,?,?,?,?,?,?,?
7,LPT,Organization's Goal Setting / Approval,,31.03.2026,20 Days,10.03.2026,,,,?,,,,,,,,
8,LPT,Eye Fitness Certificate - QA  / Welding Employees,,13.12.2026,13 Days,01.12.2026,,,,,,,,,,,,?
9,LPT,Rental Agreement Renewal - UNIT II,,31.01.2026,15 Days,15.01.2026,,?,,,,,,,,,,
10,EPFO - CBCBE0006085000 ,EPF - Payment Remittance,,Every  Month on or before 15th Day,5 Days,Every 7th,?,?,?,?,?,?,?,?,?,?,?,?
11,EPFO - CBCBE0006085001,EPF - Digital Signatory Renewal,,10.09.2027,30 days,10.08.2027,,,,,,,,,,,,
12,EPFO - CBCBE0006085002,EDLI Exemption Renewal - LIC,,31.08.2026,20 Days,10.08.2026,,,,,,,,?,,,,
13,Gratuity ,Gratuity Exemption Renewal - LIC ,,31.07.2026,20 Days,10.07.2026,,,,,,,?,,,,,
14,ESIC - 56000166940000699,ESIC -  Payment Remittance,,Every  Month on or before 15th Day,5 Days,Before 15th,?,?,?,?,?,?,?,?,?,?,?,?
15,"DISH  -  
RC # CB 4477 ",Contract RC by Principle Employer,,NA,=,NA,,,,,,,,,,,,
16,"DISH  -  
RC # CB 4478",Contractor License - FORM VI  ( L E D L ),,31.12.2026,20 Days,10.12.2026,,,,,,,,,,,,?
17,"DISH  -  
RC # CB 4479",Factory License (FORM 4) Renewal - LPT,,31.12.2026,90 Days,15.10.2026,,,,,,,,,,?,,
18,"DISH  -  
RC # CB 4480",Factory License (FORM 4) Renewal - UNIT II,,31.12.2026,90 Days,15.10.2026,,,,,,,,,,?,,
19,"DISH  -  
RC # CB 4481",IF Records -13 Registers,,Every  Month on or before 7th Day,1 Day,Every 1st,?,?,?,?,?,?,?,?,?,?,?,?
20,"DISH  -  
RC # CB 4482",Annual Returns Submission  - FORM 22 ,,31.01.2026,10 Days,20.01.2026,?,,,,,,,,,,,
21,"DISH  -  
RC # CB 4483",Half yearly  Returns Submission  - FORM 21 ,,31.07.2026,10 Days,20.07.2026,,,,,,,?,,,,,
22,"DISH  -  
RC # CB 4484",Labour Welfare Fund - FORM A ,,31.01.2026,15 Days,15.01.2026,?,,,,,,,,,,,
23,"DISH  -  
RC # CB 4485",Medical Examination Certificate (FORM 27) for Hazardous handling employees.                                                                                                                                                                                                                                                                                                                                                                                                                                      ,,31.03.2026  30.09.2026,45 Days,15.02.2026  15.08.2026,,?,,,,,,?,,,,
24,"DISH  -  
RC # CB 4486",FORM 8  Pressure Vessels  - 13 Nos.,,APR'2026  & OCT'2026,1 Day,Every 1st,,,,?,,,,,,?,,
25,"DISH  -  
RC # CB 4487",FORM V -  National and Festival  Holidays  Submission,,15.12.2026,10 Days,05.12.2026,,,,,,,,,,,,?
26, PANCHAYAT,Factory Running License,,28.02.2026,20 days,08.02.2026,,?,,,,,,,,,,
27, PANCHAYAT,Employees  Professional Tax  - 1st Half ,,15.02.2026,20 Days,25.01.2026,?,,,,,,,,,,,
28, PANCHAYAT,Employees  Professional Tax  - 2nd Half,,15.09.2026,20 Days,25.08.2026,,,,,,,,?,,,,
29,INSURANCE,Employees Group Mediclaim,,31.08.2026,20 Days,10.08.2026,,,,,,,,?,,,,
30,INSURANCE,GPA  - Unnammed Accident Policy,,27.03.2026,15 Days,12.03.2026,,,?,,,,,,,,,
31,INSURANCE,EV - TN 37 EV 1375,,10-12-2026,10 Days,01-12-2026,,,,,,,,,,,,?
32,INSURANCE,Bus   - TN 66 A 5650,,07.12.2026,7 Days,01.12.2026,,,,,,,,,,,,?
33,INSURANCE, Eicher  - TN 37 C 2711,,01.04.2026,10 Days,20.03.2026,,,?,,,,,,,,,
34,INSURANCE, SUMO - TN 66 K 7353,,16.03.2026,10 Days,06.03.2026,,,?,,,,,,,,,
35,INSURANCE, Two Wheeler 1   (Jupitor) -TN-66-V-8339,,22-08-2026,10 Days,12.08.2026,,,,,,,,?,,,,
36,INSURANCE,Two Wheeler 2  ( XL 100) -TN 66 V 8323,,22.08.2026,10 Days,12.08.2026,,,,,,,,?,,,,
37,INSURANCE,Two Wheeler 3  (OLA-EV) - TN 37 ES 1589,,11.10.2026,10 Days,01.10.2026,,,,,,,,,,?,,
38,"R T O  
FC / PERMIT ",F C :  BUS          TN 66 A 5650  ,,03.02.2026,30 Days,03.01.2026,?,,,,,,,,,,,
39,"R T O  
FC / PERMIT ",F C : EICHER     TN 37 C 2711 ,,08.10.2026,30 Days,07.09.2026,,,,,,,,,?,,,
40,"R T O  
FC / PERMIT ",F C : SUMO      TN 66 K 7353,,18.03.2029,30 days,18.02.2029,,,,,,,,,,,,
41,"R T O  
FC / PERMIT ",PERMIT  -  BUS  TN 66 A 5650  ,,04-09-2027,20 Days,16-08-2027,,,,,,,,,,,,
42,"R T O  
FC / PERMIT ",PERMIT -  EICHER  TN 37 C 2711 ,,18-08-2026,10 Days,08-08-2026,,,,,,,,?,,,,
43,TAX  (Road Tax) ,BUS          :    TN 66 A 5650  ,,Every Quarter : Before 31.03.2026 / 30.06.2026 /30.09.2026/31.12.2026,,,,,?,,,?,,,?,,,?
